model,checkpoint_path,checkpoint_step,benchmark,pair_scope,target,differing_fields,count,mean,median,q10,q25,q75,q90,min,max
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,"givenname, surname, postcode",3060,0.41553357,0.28050044,0.0017392972,0.026561294,0.87558824,0.97978294,3.2984012e-06,0.9997559
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,"surname, suburb, postcode",812,0.4205744,0.36320233,0.0017457611,0.049612682,0.8113247,0.9388856,0.00018721797,0.9987469
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,"givenname, surname",619,0.4954223,0.4807039,0.009716194,0.073802166,0.9304849,0.9827586,9.77274e-06,0.99958545
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,"givenname, suburb, postcode",226,0.3115379,0.28620642,0.00016955734,0.0022170986,0.55847305,0.7583004,4.808351e-06,0.99368966
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,"givenname, surname, suburb",207,0.4017243,0.3447488,0.007091323,0.10395787,0.68350744,0.9480137,1.9792025e-05,0.9972107
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,<none>,652,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"givenname, surname",168,0.96829534,0.99775827,0.9537928,0.99286586,0.9991479,0.9995646,0.34161383,0.9999579
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"givenname, suburb",142,0.9406748,0.9883485,0.8303581,0.9539254,0.9975897,0.99948174,0.10889654,0.99981123
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"givenname, postcode",130,0.95378935,0.9987046,0.9739735,0.9851458,0.99934214,0.9997008,0.15128712,0.9999676
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"suburb, postcode",109,0.99764276,0.99963367,0.9954496,0.9987839,0.99981636,0.99990666,0.970305,0.99998426
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"surname, postcode",109,0.9882402,0.9994561,0.9717545,0.98920923,0.99991465,0.99996424,0.8099211,0.9999833
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"surname, suburb",105,0.94303495,0.999054,0.8825706,0.9948025,0.9995197,0.9997615,0.048826188,0.99994755
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"givenname, suburb, postcode",15,0.8847851,0.9647322,0.7720847,0.89244866,0.9860284,0.9964959,0.1989284,0.9999362
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"surname, suburb, postcode",14,0.97931725,0.99510884,0.9620098,0.9811468,0.99867404,0.9993249,0.8498848,0.9998398
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"givenname, surname, suburb, postcode",13,0.7148213,0.96116763,0.14398427,0.5246048,0.9942439,0.9953869,0.02485028,0.99847764
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"givenname, surname, suburb",11,0.9014021,0.9904993,0.6801008,0.86255723,0.99465215,0.9982002,0.5589128,0.9987417
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,"givenname, surname, postcode",8,0.8976981,0.9723542,0.7163277,0.8973894,0.9979706,0.9995579,0.5059946,0.99977964
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,True,surname,2,0.9999521,0.9999521,0.99994653,0.9999486,0.99995553,0.9999576,0.99994516,0.999959
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email, phone, addr, dob",1691237,0.019495431,0.00010964494,5.077854e-07,5.628061e-06,0.002406992,0.028116036,7.188059e-12,0.9991497
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, phone, addr, dob",96877,0.020746443,6.076221e-05,5.387557e-07,4.4183003e-06,0.0012182618,0.02174371,3.169587e-10,0.9966108
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email, phone, dob",57684,0.032466196,0.00013068866,8.807856e-07,8.266779e-06,0.0028496743,0.0512032,1.2321304e-10,0.9972873
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"email, phone, addr, dob",53770,0.019601917,4.4799643e-05,5.144036e-07,3.767108e-06,0.00083308935,0.016250903,8.1047884e-11,0.9946524
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email, phone, addr",51757,0.02400955,0.00042190013,5.0172e-06,3.9561062e-05,0.0047342815,0.03811641,8.529596e-10,0.99582267
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email, addr, dob",42121,0.02693958,0.000104160965,6.5909967e-07,6.547914e-06,0.0023202843,0.038241826,4.7984217e-11,0.99707544
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"phone, addr, dob",2217,0.039603528,0.0001432402,2.4005142e-06,1.4673304e-05,0.0020743161,0.0464643,7.473641e-09,0.99254566
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, phone, addr",504,0.07561443,0.003535519,4.8406473e-05,0.0003602766,0.035483472,0.2549993,4.7055654e-08,0.9840189
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"email, phone, dob",472,0.09005624,0.00038599208,3.5544365e-06,2.3726037e-05,0.018383961,0.38142627,1.874305e-09,0.9985415
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email, dob",467,0.09536043,0.001102286,6.869949e-06,8.673857e-05,0.037300717,0.39237744,5.5104678e-08,0.99966085
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email, phone",444,0.0674799,0.0039035352,2.2464183e-05,0.00023182496,0.038162664,0.18944313,3.6080817e-08,0.9985273
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, phone, dob",278,0.023022078,0.0005000633,5.9506883e-06,3.8972314e-05,0.005305243,0.032744918,4.6832966e-08,0.9911186
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, addr, dob",191,0.015006112,0.00012813715,3.9065567e-06,2.14188e-05,0.0017144072,0.010053042,2.113538e-08,0.9996563
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"email, phone, addr",166,0.10243488,0.00267581,4.060578e-05,0.00049214775,0.05126869,0.38687536,2.1624672e-07,0.9984515
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email, addr",156,0.08351155,0.009349801,5.962755e-05,0.0007206532,0.063095324,0.270427,1.3806073e-06,0.90345895
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"email, addr, dob",144,0.046743855,0.0001682412,2.1107153e-06,1.3448887e-05,0.0037567508,0.032964576,2.7148925e-08,0.96661735
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, dob",3,0.31844372,0.026703885,0.0053510414,0.013358357,0.47765917,0.7482323,1.28306565e-05,0.92861444
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"fullname, email",3,0.4811841,0.49243236,0.19886822,0.30895478,0.6590376,0.75900066,0.12547718,0.82564276
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"phone, dob",3,0.0013492092,0.0011086361,0.0002472593,0.00057027565,0.0020078563,0.0025473884,3.1915115e-05,0.0029070764
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"email, phone",2,0.64807904,0.64807904,0.4845284,0.5458599,0.75029826,0.8116298,0.4436407,0.8525174
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"email, addr",1,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"email, dob",1,0.2042693,0.2042693,0.2042693,0.2042693,0.2042693,0.2042693,0.2042693,0.2042693
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,phone,1,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257,0.84112257
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,False,"phone, addr",1,0.21255349,0.21255349,0.21255349,0.21255349,0.21255349,0.21255349,0.21255349,0.21255349
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email, phone, addr, dob",143,0.33411014,0.12789027,8.2699196e-05,0.0071628056,0.69532686,0.94721663,9.328141e-08,0.9966882
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, phone, addr, dob",71,0.5259238,0.67216456,0.0010282217,0.031903457,0.968238,0.9947464,7.654402e-06,0.99996006
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"email, phone, addr, dob",55,0.5803789,0.70079505,0.0012590172,0.14057282,0.98246956,0.99603784,1.9748175e-06,0.99980146
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email, phone, dob",48,0.5724426,0.7988197,0.0024721478,0.08959058,0.9887235,0.9988873,1.7264158e-05,0.9998534
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email, addr, dob",35,0.43319398,0.3324173,0.00034672045,0.021612536,0.888925,0.96465397,4.9376245e-05,0.99900985
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email, phone, addr",27,0.44887292,0.4936501,0.02230052,0.07502341,0.81574005,0.9425161,0.0027663878,0.9993772
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"phone, addr, dob",16,0.5128809,0.59515965,0.0029456927,0.032558914,0.9888947,0.99659926,0.00044481584,0.9998709
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, phone, addr",15,0.7606307,0.95686907,0.18863238,0.7181058,0.9898514,0.9974235,0.0023023654,0.9998896
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"email, addr, dob",13,0.81168514,0.97975725,0.32601047,0.8294825,0.99643683,0.9994169,0.0018569016,0.99990416
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"email, phone, addr",13,0.79162186,0.9563908,0.15062411,0.893468,0.99541277,0.9986428,0.008578974,0.9994375
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, addr, dob",11,0.6667464,0.81617427,0.013153598,0.48797393,0.9730501,0.99262977,3.7178765e-05,0.99945873
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"email, phone, dob",10,0.8466999,0.97791016,0.51049554,0.95053095,0.9973286,0.9995588,0.05058451,0.9996387
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, phone, dob",10,0.40295172,0.305849,0.0005518925,0.0014156094,0.7348223,0.977562,0.0004278714,0.9999075
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email, addr",6,0.8161268,0.9668702,0.48835263,0.61359537,0.98305905,0.9931575,0.47888285,0.999845
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email, phone",6,0.8007312,0.9662182,0.43769428,0.6473547,0.9954262,0.9982811,0.32630682,0.9994149
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, addr",4,0.87668335,0.90942603,0.7301618,0.7926189,0.9934905,0.9970109,0.6885237,0.99935776
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email, dob",3,0.5106955,0.522458,0.14658122,0.287535,0.73973733,0.8701049,0.052612025,0.95701665
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"email, addr",2,0.99692965,0.99692965,0.99550444,0.9960389,0.99782044,0.9983549,0.9951481,0.9987112
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"email, phone",2,0.50916976,0.50916976,0.12061879,0.2663254,0.75201416,0.89772075,0.02348105,0.9948585
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, phone",2,0.9974924,0.9974924,0.9954975,0.9962456,0.9987391,0.9994872,0.9949988,0.99998593
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,addr,1,0.9992719,0.9992719,0.9992719,0.9992719,0.9992719,0.9992719,0.9992719,0.9992719
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"addr, dob",1,0.99687624,0.99687624,0.99687624,0.99687624,0.99687624,0.99687624,0.99687624,0.99687624
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"email, dob",1,0.9700551,0.9700551,0.9700551,0.9700551,0.9700551,0.9700551,0.9700551,0.9700551
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,fullname,1,0.99989283,0.99989283,0.99989283,0.99989283,0.99989283,0.99989283,0.99989283,0.99989283
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, dob",1,0.9999627,0.9999627,0.9999627,0.9999627,0.9999627,0.9999627,0.9999627,0.9999627
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"fullname, email",1,0.99995065,0.99995065,0.99995065,0.99995065,0.99995065,0.99995065,0.99995065,0.99995065
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"phone, addr",1,0.99842083,0.99842083,0.99842083,0.99842083,0.99842083,0.99842083,0.99842083,0.99842083
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,True,"phone, dob",1,0.045854453,0.045854453,0.045854453,0.045854453,0.045854453,0.045854453,0.045854453,0.045854453
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email, phone, addr, dob",207,0.18296003,0.010310305,1.986082e-05,0.00031596562,0.24376822,0.71732605,1.4940483e-07,0.9991497
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"email, phone, addr, dob",54,0.35042068,0.09058154,0.000434421,0.009884734,0.7806961,0.9616101,1.158734e-06,0.9946524
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, phone, addr, dob",51,0.19239889,0.021306276,0.00010009053,0.000276173,0.15345684,0.82655454,8.90843e-08,0.9927893
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email, addr, dob",45,0.27532476,0.045322005,2.2895809e-05,0.0008870735,0.57784915,0.9329803,1.787475e-07,0.9870809
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email, phone, dob",43,0.17799047,0.024964571,0.00014578746,0.0010192532,0.22771908,0.759293,4.928527e-07,0.94783574
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email, phone, addr",25,0.3117411,0.19116992,0.0006403399,0.008413932,0.48879445,0.94684917,1.7577882e-05,0.99582267
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"email, phone, dob",11,0.43120006,0.44913405,4.879688e-05,0.00016838548,0.85871834,0.95587814,2.3582848e-05,0.9985415
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"phone, addr, dob",10,0.36106923,0.08592751,0.00035604625,0.0042161876,0.80086917,0.95613337,5.000017e-06,0.99254566
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, phone, addr",9,0.458576,0.24598978,0.030250894,0.20222464,0.8562739,0.96989083,0.004307127,0.9840189
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"email, addr, dob",8,0.24774316,0.020229697,0.0027963747,0.0048316615,0.30346707,0.8791795,4.220929e-06,0.96661735
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"email, phone, addr",8,0.65789926,0.88097346,0.11265588,0.31583,0.97065437,0.99344194,0.027059853,0.9984515
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, phone, dob",7,0.25702897,0.04624626,0.0013313711,0.0018016114,0.37872985,0.81216425,0.00077489245,0.9911186
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email, phone",6,0.6405646,0.8180379,0.105278775,0.31792513,0.9970587,0.9983772,0.0008315686,0.9985273
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email, dob",5,0.41903567,0.24135487,0.00046451925,0.0004992711,0.8532221,0.94108534,0.00044135135,0.99966085
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"email, phone",2,0.64807904,0.64807904,0.4845284,0.5458599,0.75029826,0.8116298,0.4436407,0.8525174
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, dob",2,0.47765917,0.47765917,0.11689494,0.25218153,0.7031368,0.8384234,0.026703885,0.92861444
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email",2,0.6590376,0.6590376,0.5257534,0.575735,0.74234015,0.79232174,0.49243236,0.82564276
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, email, addr",2,0.10184778,0.10184778,0.040934935,0.06377725,0.13991831,0.16276063,0.025706725,0.17798884
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"email, addr",1,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134,0.82920134
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,bpid_matching_paired,paired_rows,False,"fullname, addr, dob",1,0.9996563,0.9996563,0.9996563,0.9996563,0.9996563,0.9996563,0.9996563,0.9996563
